년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2022,서 울,66289,15298,2,8796,50989
2022,부 산,52631,34975,283,796784,17373
2022,대 구,7322,3199,2,1761,4121
2022,인 천,12265,8489,52,112582,3724
2022,광 주,14095,12047,109,261376,1939
2022,대 전,7409,4823,162,362732,2424
2022,울 산,58009,48762,13,7743,9234
2022,세 종,1754,1174,2,5464,578
2022,경 기,96382,70655,2526,12502425,23201
2022,강 원,41757,23078,3290,5811621,15389
2022,충 북,18939,10852,920,3444300,7167
2022,충 남,65344,49892,3208,9504236,12244
2022,전 북,69556,61301,655,1873778,7600
2022,전 남,67163,60708,330,501874,6125
2022,경 북,57302,46195,221,522429,10886
2022,경 남,80802,63695,641,1390529,16466
2022,제 주,19198,12188,678,2718108,6332
